base_tag,display_name,color_hex,prompt
rum,럼,#f2a878,"Uniform flat #f2a878 peach-orange filling the canvas; no texture, gradient, surface, floor or horizon."
whiskey,위스키,#d4a56e,"Uniform flat #d4a56e caramel-tan filling the canvas; no texture, gradient, surface, floor or horizon."
tequila,데킬라,#f0d366,"Uniform flat #f0d366 yellow filling the canvas; no texture, gradient, surface, floor or horizon."
non_alcoholic,논알콜,#7ed08e,"Uniform flat #7ed08e green filling the canvas; no texture, gradient, surface, floor or horizon."
gin,진,#ef97c8,"Uniform flat #ef97c8 pink filling the canvas; no texture, gradient, surface, floor or horizon."
vodka,보드카,#8fb4ee,"Uniform flat #8fb4ee blue filling the canvas; no texture, gradient, surface, floor or horizon."
liqueur,리큐르,#c39ae8,"Uniform flat #c39ae8 lavender-purple filling the canvas; no texture, gradient, surface, floor or horizon."
brandy,브랜디,#e57373,"Uniform flat #e57373 red-coral filling the canvas; no texture, gradient, surface, floor or horizon."
other,기타,#8f949b,"Uniform flat #8f949b cool gray filling the canvas; no texture, gradient, surface, floor or horizon."
